ID,NOMBRE,CANTIDAD,PRECIO COMPRA,PRECIO VENTA,CÓDIGO BARRAS ITEM,CÓDIGO BARRAS CAJA,UNIDAD MEDIDA,CATEGORÍA
,CUAD PROF SCRIBE ESCOLAR PLUS 7970 100H RAYA,36,20.75,24,7506129430801,,Pieza,CUADERNO PROF. RAYA
,CUAD PROF SCRIBE ESCOLAR PLUS 7972 100H C-5,36,20.75,24,7506129430849,,Pieza,CUADERNO PROF. CUADRO CHICO
,CUAD PROF SCRIBE ESCOLAR PLUS 7973 100H C-7,36,20.75,24,7506129430863,,Pieza,CUADERNO PROF. CUADRO GRANDE
,PAPEL LUSTRE 50X70 AMARILLO ORO PAQ C/25,25,3.2832,6,,,Pieza,PAPEL LUSTRE
,PAPEL LUSTRE 50X70 BLANCO PAQ C/25,25,3.2832,6,,,Pieza,PAPEL LUSTRE
,PAPEL LUSTRE 50X70 NEGRO PAQ C/25,25,3.2832,6,,,Pieza,PAPEL LUSTRE
,PAPEL LUSTRE 50X70 ORO PAQ C/25,25,3.2832,6,,,Pieza,PAPEL LUSTRE
,PAPEL LUSTRE 50X70 SALMON PAQ C/25,25,3.2832,6,,,Pieza,PAPEL LUSTRE
,PAPEL LUSTRE 50X70 VERDE PISTACHE (NILO) PAQ C/25,25,3.2832,6,,,Pieza,PAPEL LUSTRE
